"Part Number","Library Ref","Resistance","Tolerance","Current Rating","Voltage Rating (DC)","Case Code (Imperial)","Power Rating","Mount","Manufacturer","Manufacturer Part Number","Description","Footprint Ref","Height","HelpURL","RoHS","Max Operating Temperature","Stats"
"R_113K_0402_1","R","113k","1%",,"50V","0402","62.5mW","Surface Mount","Yageo","RC0402FR-07113KL",,"R_0402_1005","400µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"155°C",
"R_115K_0805_1","R","115k","1%",,,"0805","125mW","Surface Mount",,"

RC0402FR-07113KL",,"R_0805_2012","0mm",,,"0°C",
"R_120K_0402_1","R","120k","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-07120KL","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_120k_1206_1","R","120k","1%",,"200V","1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_120R_0402_1","R","120","1%",,"50V","0402","125mW","Surface Mount","Yageo","RC0402FR-07120RL","Thick Film Resistor","R_0402_1005","0.35mm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf","Compliant","155","MK"
"R_120R_0603_1","R","120","1%",,,"0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_120R_0805_1","R","120","1%",,,"0805","125mW","Surface Mount",,,,"R_0805_2012","0mm",,,"0°C",
"R_120R_1206_1","R","120","1%",,"200V","1206","250mW","Surface Mount",,,,"R_1206_3216","0mm",,,"0°C",
"R_12K_0402_1","R","12k","1%",,"50V","0402","100mW","Surface Mount","Yageo","RC0402FR-1312KL",,"R_0402_1005","350µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,,
"R_12k_0603_1","R","12k","1%",,"50V","0603","100mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_12K1_0603_1","R","12.1k","1%",,,"0603","63mW","Surface Mount",,,,"R_0603_1608","0mm",,,"0°C",
"R_130K_0603_1","R","130k","1%",,"50V","0603","62.5mW","Surface Mount",,,,"R_0603_1608","400µm",,,"155°C",
"R_133K_0402_1","R","133k","1%",,"50V","0402","62.5mW","Surface Mount","Yageo","RC0402FR-07133KL",,"R_0402_1005","400µm","https://pl.mouser.com/datasheet/2/447/PYu-RC_Group_51_RoHS_L_10-1527934.pdf",,"155°C",
